gene name	test_pipeline	first_sample
RPS9	1074	768
PLA2G1B	0	0
CYTL1	0	0
TSEN34	233	311
TRH	0	0
GSTA4	56	10
MSANTD4	3	0
NDUFA3	180	144
OSCAR	0	0
PAQR8	0	0
NUDT6	0	0
TPT1-AS1	1	0
OR7G3	0	0
TANC2	0	0
OR7G2	0	0
TEX13B	0	0
PKHD1	0	0
OR1M1	0	0
NCBP2L	0	0
DNAJC24	17	0
MBD3L1	0	0
ZNF160	0	3
PGK2	0	0
OR8B12	1	0
ZNF415	0	0
PRKCDBP	0	0
CEACAM3	0	0
DCDC1	0	0
HAS2	0	1
PDGFD	0	0
PLAC1	0	0
DDI1	0	0
LINC00208	0	0
S1PR1	0	0
HS6ST2	0	3
OR4D5	0	0
PYGO1	0	0
LRRC8E	0	0
PKIA	0	0
XKR6	0	0
TSNARE1	0	0
FPR2	0	0
FPR1	0	0
PATE1	0	0
OR13H1	0	0
FEZ2	0	9
SOX7	0	0
C8orf74	0	0
C11orf24	97	116
FAM86JP	0	0
ALK	0	0
KYAT1	0	0
MTM1	0	0
SIGLEC17P	0	0
OBP2B	0	0
TRMT61B	0	6
INSR	4	58
MFN1	6	0
GIMAP8	0	0
HSFX1	0	0
NRTN	0	0
KCNMB3	0	6
FUT3	0	27
KCNG3	0	0
ATP6V0E2	27	12
PRKCE	0	0
OR2K2	0	0
JAGN1	589	167
RLN3	0	0
TADA3	57	11
SOCS5	0	5
C1GALT1C1	88	64
C9orf16	67	24
MORN4	14	11
ZNF672	100	4
ZNF692	0	0
NAIF1	0	0
RBKS	55	0
OR2M4	0	0
GRIK1	0	1
MUC7	0	0
OPRPN	0	0
SMR3B	0	0
TMEM126A	243	201
TMEM126B	17	32
TRIM8	0	4
NETO2	0	0
CSN3	0	0
CLDN20	0	0
CDC42BPG	0	0
SCAND1	149	85
JUNB	108	0
C10orf35	107	10
TMEM37	210	137
UGT2B7	14	47
LRG1	277	28
SHCBP1	0	0
SOSTDC1	2	0
NPTX1	0	0
FAM98B	2	0
ZNF439	0	0
ZNF440	0	0
GAA	37	56
CANT1	0	4
KCNK3	0	0
ZDHHC16	123	28
CHST11	0	0
EXOSC1	114	49
PGAM1	333	307
CHD7	37	154
ESCO2	0	71
KRT19	687	1070
KRT15	0	0
LURAP1	0	0
KRT38	0	0
CLCN5	0	0
TPPP	0	0
KCND3	0	0
APLN	0	0
KRTAP4-4	0	0
KRT13	0	0
XAGE3	0	0
KRT9	0	0
XAGE5	0	0
PDE7B	0	0
MRPL36	123	71
ZNF581	109	33
NAT1	0	5
KRT20	0	0
GLOD5	0	0
KSR2	0	1
ZNF524	10	8
MCC	68	69
KRT27	0	0
ZBTB26	0	0
CDK5R2	0	0
DSEL	0	0
POLR1C	199	147
ASXL1	8	8
OR1L6	0	0
DLK2	0	7
ZNF562	7	0
ZNF318	0	2
ZNF561	0	21
WIPF2	4	9
HOPX	0	0
SPACA5B	0	0
OR1L3	0	0
SSX6	0	0
none	0	0
NLRP5	0	0
LRRC8C	0	0
SPACA5	0	0
RSL1D1	270	291
LRRC8D	43	6
MROH2B	0	0
OR1L8	0	0
PPID	88	14
OR1N2	0	0
COL24A1	0	0
ETFDH	48	0
OR1N1	0	0
RXFP1	0	0
LPAR3	10	23
PTGER4	0	0
TBCA	118	308
NEUROD2	0	1
MAP6	0	0
OTP	0	0
ECEL1	0	0
BCL2L1	108	9
FGG	2401	845
FGA	441	112
OR2AT4	0	0
FGB	5815	1750
PLRG1	293	38
RAB4B-EGLN2	0	0
ZNF584	0	0
DSCAM	0	0
DNAI2	0	0
NMUR1	0	0
CLSTN1	50	46
CXXC5	77	16
ZNF274	43	81
PIK3CD	0	0
PTCRA	0	0
SLC25A33	114	147
ENC1	0	0
SPSB1	78	6
P2RY6	0	0
BPTF	25	35
S100Z	0	0
ZIK1	4	1
GPR82	0	0
NMRAL2P	0	0
GPR34	0	0
SHANK2-AS3	0	0
PLEKHG5	0	0
ATF7IP	0	21
LKAAEAR1	0	0
RGS19	29	0
TCEA2	30	3
DEFB4A	0	0
ANO5	0	0
HDAC3	29	169
C1orf111	0	0
GPHN	0	0
VAT1L	0	0
TMEM51	6	18
CAMTA1	141	146
LGALS4	0	0
LRRC34	43	0
PAH	288	86
SPATA5L1	0	31
GATM	76	35
SYCE1	0	0
NXNL1	0	0
RASGRP4	0	0
NHLH1	0	0
SLFNL1	12	0
BCL2	0	0
RHNO1	62	67
CTPS1	126	95
UTF1	0	0
KNDC1	0	0
WDR87	0	0
METTL18	70	17
CFAP46	0	0
COL8A2	0	0
PWWP2B	0	0
PCDHB1	0	0
ZNF540	0	0
ANGPTL7	0	0
FBXL14	0	0
EXOSC10	280	141
ZNF570	0	0
NINJ2	18	74
MLLT3	25	15
FAM90A1	0	0
RRM2	0	231
TRAPPC12	0	0
IFNB1	0	0
RPS21	687	864
C3AR1	0	0
MRM3	0	27
PTEN	0	21
RPS7	1589	1229
PRND	0	0
RNASEH1	39	32
PRNP	4	1
KLF17	0	0
ADRA1D	0	0
FRMD5	0	6
AQP4	0	0
MIR31HG	0	0
CYP4F11	0	0
TLN2	0	15
LGALS9C	0	0
TVP23B	155	45
FBXW10	0	0
OR10H3	0	0
ZNF217	0	4
OR10H2	0	0
SRGAP2C	18	14
OR52A5	0	0
SCG2	0	0
ATPAF2	51	88
CYP4F22	0	0
FOXB1	0	0
PPIH	112	77
DRC3	2	0
ZNF57	0	1
C20orf196	24	0
C11orf40	0	0
JMJD1C	55	73
LDHAL6B	0	0
SYNPO	0	0
OR52P2P	0	0
ZNF556	0	0
MAL	0	0
ZNF554	0	0
RAB33B	9	9
THOP1	193	50
ANKRD20A4	0	0
REG3A	0	0
GAP43	0	0
REG1B	0	0
EPHX4	0	0
LAMB2	0	0
USP19	0	0
QARS	320	64
ORMDL3	76	35
SERF1A	0	0
KLF11	0	0
LRRC15	0	0
SMN1	1	7
EIF2AK3	1	0
TEX37	0	0
MOB3A	0	0
KRCC1	30	0
NME6	228	10
CYCS	446	628
CD8B	0	0
SLFN12	0	1
CALB2	0	0
SLC9C1	0	0
OR1A1	0	0
OR7A2P	0	0
OR1A2	0	0
OR8I2	0	0
LCE1D	0	0
CCL11	0	0
FRMD3	0	12
SNTB1	40	0
MTBP	0	0
TEFM	27	0
MRPL13	310	173
MALT1	6	14
PRL	0	0
ISG20	0	0
HMGN1P35	0	0
OR4C11	0	0
MBOAT1	0	0
OR8U1	0	0
ID4	153	112
OR4X2	0	0
GPR22	0	0
CXCR6	0	0
CEBPB	3	3
AZU1	0	0
TPSAB1	0	0
ATOH1	0	0
PAIP1	72	149
CLEC7A	0	0
C5orf34	0	35
C1QTNF4	0	0
SERHL	0	0
NEGR1	0	0
ZNF131	74	38
MACROD2	0	0
DPAGT1	115	78
BSG	123	330
HINFP	0	0
PRYP4	0	0
CDY1	0	0
OR10V1	0	0
CERS6	6	10
CSPG4P4Y	0	0
SPTLC3	0	0
GOLGA2P3Y	0	0
COPRS	414	106
TP53RK	42	0
B3GALT1	0	0
OR5A1	0	0
CLEC12A	0	0
OR5A2	0	0
BPGM	0	0
POP7	345	425
ALG14	43	23
SUCLG2	79	1
CSPG4P3Y	0	0
STARD5	0	0
CSDC2	0	0
RCAN2	0	37
IL16	0	0
ABCG4	0	0
CDY1B	0	0
GNB2	0	5
CFAP53	0	0
OR5B12	0	0
OR5B2	0	0
MCRIP2	59	46
PDZD3	0	0
C2CD2L	0	0
OR9I1	0	0
ARNT2	0	0
GNG12	2	131
none	0	0
PRSS27	0	0
MYOZ2	0	0
SYNPO2	0	0
DNAJB7	0	0
CLP1	113	58
INSL5	0	0
EFCAB3	0	0
TTC36	0	0
RSPH9	0	0
COPS9	196	146
GTPBP2	0	1
FGGY	83	0
OR9G4	0	0
IL17D	0	17
OR5AR1	0	0
PRSS30P	0	0
FUT9	0	0
OR5AP2	0	0
TCEAL1	6	1
ZNF24	1	21
HSFY1	0	0
MANEA	0	0
RAB40A	0	0
C2orf54	0	0
AGXT	0	43
OR8J1	0	0
OR5T3	0	0
AFF1	20	12
ACOT12	0	0
FIBP	249	154
CARNS1	0	0
OR10H5	0	0
BANP	0	9
PPP1CA	1601	1592
HCFC1	33	42
FAM170B	0	0
CTSW	0	0
NIPAL4	0	0
MUCL1	0	0
SNTG2	0	0
FNDC9	0	0
PDE3A	3	6
RASGRP1	0	0
KLHL6	0	0
CHCHD1	68	118
MRPL52	151	118
SMPDL3A	0	35
RND1	17	0
RAD9A	16	4
EFEMP2	0	0
OR10AD1	0	0
AGAP5	0	0
FAM21C	0	6
TMEM134	75	70
ZMAT3	0	0
ZFAND4	0	0
THEMIS	0	0
MOS	0	0
ZNF738	53	18
MS4A10	0	0
SLFN11	0	0
FAM71D	0	0
CCL19	0	0
CORO1B	150	306
FUT10	0	10
LRRC20	0	3
MUS81	31	0
PURG	0	0
TMEM217	0	0
OR4D9	0	0
RPL12P13	0	0
ZNF596	0	1
COL6A5	0	0
CFL1	852	1149
TMCC1	1	4
NAA16	0	1
OR5B3	0	0
EFCAB12	0	0
OR10W1	0	0
none	0	0
FAM192A	127	26
RAB43	2	0
FADS6	7	0
CBWD1	87	34
HOXC5	0	0
RAB37	0	0
DCP2	1	39
ZBTB8OSP2	0	0
SNX32	0	1
RPL38	360	303
CYP7B1	0	0
OVOL1	0	0
RARG	0	0
CES4A	0	0
CES3	0	0
SSH3	0	10
CES2	22	0
PDP2	0	16
SP3	5	1
KRT2	0	0
DMXL1	0	0
METAP1D	0	3
ZNF621	0	4
EGFL7	120	127
NADSYN1	15	58
DHCR7	439	490
FLJ42102	0	0
LVRN	0	0
COX6B1P3	0	0
NBEA	0	0
RNASEH2C	59	14
MYEOV	0	0
ANKRD13D	0	82
MRGPRF	0	0
MYD88	116	33
MRGPRD	0	0
OXSR1	71	54
SLC22A13	0	0
PHF8	0	1
LCLAT1	0	15
ADH6	180	0
MIR4435-2HG	110	35
XKR3	0	0
FRG2C	0	0
UNC93B3	0	0
AC007318.5	1	1
KAT5	23	6
SH3RF3	0	0
GXYLT2	0	0
HPSE2	0	40
DCAKD	0	6
ARPP21	0	0
TADA2B	0	0
CCDC96	0	0
GRK2	18	62
RELA	0	0
EVC2	0	0
ZNF680	0	10
HECTD4	0	0
FAM222B	16	12
BNC2	0	0
DEC1	0	0
RXFP4	0	0
HPSE	0	0
COQ2	123	61
none	0	0
CCDC63	0	0
HSPA6	0	0
TRMT112	428	386
LRRN3	0	0
KDM2A	94	36
ACSM6	0	2
ADCK5	76	0
MRPL57	238	183
NOC3L	52	0
ESRRA	57	28
RHOD	198	189
ADAMTS20	0	0
COMMD1	52	33
RAPH1	0	12
MTX1	95	74
ADCY5	0	0
PARP14	0	21
CYSLTR1	0	0
PARP15	0	0
CKS1B	483	393
ABCD2	0	0
AHSA2	0	0
ABLIM3	16	3
MAB21L3	0	0
TUBB8P12	0	0
MFSD4B	0	0
VANGL1	80	6
GLRX	61	123
IQCB1	0	26
SYT12	13	2
GOLGB1	113	21
TERF1P1	0	0
C11orf86	0	0
LIPM	0	0
GPR151	0	0
DMRT2	0	0
ZNF483	0	0
PLAC8L1	0	0
SLC2A14	23	0
GPR137	0	1
SNCG	0	0
MMRN2	0	0
MZT2A	86	248
TNKS	0	0
ZNF449	0	0
ZBTB21	0	0
PPP1R3B	1	1
OR10K1	0	0
FAM86B3P	0	0
GPR148	0	0
STOX2	0	0
MAP3K11	37	0
TRIB1	0	0
CST9	0	0
KCNK7	0	0
SFT2D3	0	0
AC007967.3	0	0
RP11-330H6.5	0	0
C1QB	0	0
C1QA	0	0
NDNF	0	0
IQCF1	0	0
OLR1	0	0
GLIPR1L1	0	0
DAG1	10	19
INSM1	0	0
DAB1	0	0
ARV1	55	57
NAA20	105	50
CCDC36	0	0
RNASE8	0	0
SAA1	0	0
MINOS1	177	122
EHBP1L1	0	0
THAP2	0	18
TMEM196	0	0
RNF26	83	0
PPP1R14B	69	156
RNASE11	0	0
SSSCA1	21	157
AGR3	0	0
SMARCC1	107	104
ZNF417	0	0
PTPRM	0	1
FKBP2	198	112
VEGFB	0	8
PEAK1	24	54
TNFRSF10D	108	70
MST1	0	0
TNFRSF10C	0	0
GMPPB	123	32
MOB1B	0	0
ZNF622	0	8
CSPG4	0	0
SNX33	0	0
C2orf70	0	0
NABP1	55	68
ADGRF3	38	0
NLRP13	0	0
CHD2	26	20
XCR1	0	0
CCDC106	5	0
CCR9	0	0
CEP83	37	1
SULT1B1	0	0
NUDT4	0	13
PC	57	23
UGT2A1	0	0
SCAI	0	4
GPRC6A	0	0
NMNAT1	1	7
LRFN4	0	0
TRAPPC3L	0	0
APOBEC4	0	0
SLC19A1	0	1
HSPB7	0	0
RCE1	125	339
UQCRH	360	465
TAS1R1	0	0
HES3	0	0
EIF1AX	150	260
SPDYE2B	0	3
OR1L1	0	0
CXorf23	0	0
PSMD1	397	362
ADGRG2	0	0
SPATA3	0	0
MUC13	0	0
SUSD5	0	15
HEG1	127	118
WFIKKN2	0	0
C11orf80	13	14
TOMM20	174	197
CMB9-22P13.1	0	0
C1orf100	0	0
AGFG1	48	33
STAT5B	0	3
CD7	0	1
TOPAZ1	0	0
CNP	163	79
JUP	2	6
HAP1	0	0
TDRD12	0	0
PPIAP7	0	0
CCDC13-AS1	0	0
EIF1	1083	1408
ENDOV	0	64
RNF213	0	21
TIGD3	0	0
KCNH6	0	0
MARCH10	0	0
PLK3	153	5
NET1	59	29
DPY19L1	0	0
RP11-89N17.1	0	0
RP11-97O12.7	0	0
PHOSPHO1	0	0
ZNF791	15	24
PHC3	2	4
GPR160	18	15
CBX2	0	6
SPTBN2	0	1
GOLIM4	2	10
KRT28	0	0
RBM4B	225	200
USMG5	445	374
HOXB2	0	0
C1QTNF1	0	0
MARCH3	27	83
SWSAP1	12	53
SLCO4C1	28	4
RBM4	47	96
PIFO	0	0
XXYLT1	0	0
SNURFL	0	0
UBXN2A	54	5
RP11-18M17.1	0	0
RAX2	0	0
LRRC63	0	0
TCAP	0	0
CCS	406	174
NRROS	0	0
CEP19	0	0
KLHL15	2	0
FBXO45	0	28
SPERT	0	0
FAM46D	0	0
GNG5	757	702
FAM3C2	6	1
SLC25A30	0	0
C9orf131	0	0
CD34	0	0
CTSF	156	25
MSRB3	80	0
LEMD3	6	0
C16orf91	197	16
TLR10	0	0
TLR1	0	0
TLR6	0	0
FAM174A	35	0
RGMB	0	0
FAM53A	0	0
NWD2	0	0
CYB561D1	0	0
GSTA3	0	0
ZDHHC24	0	123
RP11-23P13.6	0	0
TRMT10C	44	94
SELP	0	0
CTU2	0	46
MGA	36	0
C12orf66	0	1
ARL13A	0	0
SNX31	0	0
PIGG	0	7
PRPF8	127	27
ADCY6	0	6
REP15	0	1
PITPNA	71	106
DDX23	0	31
ZNF80	0	0
ZNHIT2	0	16
EVX2	0	0
ZBTB4	0	4
TNK1	0	0
ZHX3	36	2
PHLDA3	0	0
DIRC1	0	0
SLC16A11	0	0
SLC16A13	1	2
GLIS1	0	0
OR2Y1	0	0
CHRNA9	0	0
PODN	0	0
STAG3L3	0	2
SLC6A19	0	0
SNHG11	64	0
C11orf45	0	0
EXO1	0	117
RALGAPA1	0	5
PMS2P6	0	0
C20orf166-AS1	0	0
LIG4	0	0
MIR1-1HG	0	0
PPIAP24	0	0
TRHR	0	0
RPL35P9	0	0
GTF2IRD2B	17	0
ABRA	0	0
ATP2A2	0	36
ZWILCH	113	2
RPL4	1918	1919
SNAPC5	162	112
STARD6	0	0
GOLGA6L2	0	0
VWC2L	0	0
C12orf76	0	36
ZCCHC12	0	0
CNTNAP2	0	0
GALNTL6	0	0
LINGO2	0	0
BBS1	1	20
DENND4A	67	7
AC005017.2	0	0
IGDCC3	6	29
GCSAM	0	0
ANKRD36C	0	11
SLC26A9	0	0
MFSD4A	0	0
PELI3	0	0
TTC9B	0	0
MYO1H	0	0
TMEM81	0	0
MRPL11	1013	1199
KLK15	0	0
IL20RB	0	0
GOLT1A	88	91
RPL10P2	0	0
AKIRIN1	356	50
NPAS4	0	0
MSL2	0	0
ZNF497	0	1
TRAM1L1	0	0
CMKLR1	0	0
ANGEL2	0	0
UGT8	0	0
KY	0	0
IQCK	0	0
SLCO2A1	1	0
ZNF266	0	0
OR7D4	0	0
SLC29A2	300	61
BRSK2	0	0
VN1R6P	0	0
FAM47DP	0	0
GRIK1-AS1	0	0
B4GAT1	326	341
TMEM167A	95	75
LEP	0	0
SH3PXD2B	1	1
RP11-79L9.2	0	0
KIAA1551	84	50
LARP7	9	44
FGFBP3	0	0
NR1D2	0	2
PABPC5	0	0
BRMS1	444	430
RPL15	7524	4942
C4orf32	33	22
HRAS	17	31
WDR49	0	0
SRP72	654	138
PCP2	0	0
RIN1	22	0
C4orf26	0	0
THAP6	22	0
CEP135	24	0
FZD4	1	0
CD248	0	0
BTC	0	0
PDZK1	106	15
ADGRE1	0	0
DENND6A	0	0
PDE12	0	0
GLMN	0	21
DNAH12	0	0
YIF1A	1727	1095
CNIH2	0	0
AMY1B	0	0
NLRP6	0	0
NDUFA11	138	154
RSRC1	75	50
CATSPERD	0	0
PQLC2L	0	0
RAB1B	90	152
METTL15P1	0	0
OR9G1	0	0
PTDSS2	0	0
C19orf70	1	46
C3orf33	32	41
VN2R1P	0	0
OR5M3	0	0
SEZ6L2	1	0
ASPHD1	0	0
none	0	0
KCTD13	8	0
P2RY14	0	0
AMZ1	0	0
GPR171	0	0
GPR149	0	0
CD164L2	0	0
FUT1	0	0
DHX36	43	35
OR5J2	0	0
ZIC4	0	0
OR10AG1	0	0
AC026271.5	6	6
OR4S2	0	0
FBXW8	0	31
CA5A	2	0
ZG16	0	0
KLC2	97	13
SLC22A1	0	0
TEX36	0	0
CTBP2	0	0
CHST2	0	0
ZDHHC14	0	5
ATR	13	27
LRRC75A-AS1	85	277
UBE2C	43	183
DSG4	0	0
GK5	0	11
VCPIP1	0	0
RTP1	0	0
DES	0	0
PDIK1L	0	0
SPSB4	33	0
RAG2	0	0
TRAF6	49	43
ZNF654	0	0
TVP23C	1	0
MRPS22	74	50
PACS1	0	44
WFDC5	0	0
MARCKSL1	134	253
SH3BP5L	45	0
OR2T1	0	0
TMEM51-AS1	0	0
YPEL2	0	0
CADM2	0	0
ABO	0	0
PSMD2	409	891
FAM182B	0	0
PPM1E	0	0
FAM131A	0	45
CSRP2	61	158
INHBC	0	0
PARL	79	106
DDIT3	100	29
PCCA	0	1
HIGD2B	0	0
DCTN2	177	142
NPPA	0	0
ZNF408	0	8
CTDSP2	11	0
CKAP5	0	1
ARHGAP1	78	131
MED16	87	33
ATG13	24	8
GAL3ST3	0	0
C1orf127	0	0
CHST1	0	0
GOLGA8A	2	0
VWA3A	0	0
TP53I11	0	0
CENPS	3	15
DOLK	83	0
PHYHD1	63	0
CATSPER1	0	0
ANKRD30BP1	0	0
CCNE2	0	22
PHYKPL	117	21
ANKS4B	40	2
CST6	0	0
GRAMD2	0	0
NF1P5	0	0
ZNF519	0	37
LSM1	0	107
PROP1	0	0
ISX	0	56
BANF1	264	265
APOF	0	0
CHRNA7	0	0
TMEM9B	0	38
NRIP3	0	0
PTPN2	88	128
SCUBE2	0	0
EIF1AD	3	45
SMAD2	29	28
EIF3F	124	70
none	0	0
ZNF25	0	0
OR10P1	0	0
ARL10	0	0
CLTB	110	60
PCSK1	0	0
LPL	0	0
RFESD	0	0
CCDC14	36	0
TBC1D10C	0	0
SART1	0	53
PPP2R2D	2	11
MCTP1	0	0
POLD4	4	9
OR52W1	0	0
LRRC25	0	0
DPP10	0	0
CLCF1	0	0
RP11-395L14.13	0	0
TSGA10IP	0	0
GPR152	0	0
UBQLNL	0	0
UBQLN3	0	0
PNLIP	0	0
LIPT2	0	0
KCNE3	0	0
CABP4	0	0
ALG10B	0	0
DRAP1	11	39
LONRF3	17	37
UCP3	0	0
UCP2	45	104
C11orf68	12	0
PAAF1	0	0
MRPL48	153	75
RAB6A	32	29
P2RY2	0	0
FOSL1	0	0
ERCC4	40	0
SUGCT	0	0
CCDC85B	0	19
RP11-276H1.3	0	0
TMEM70	2	126
LINC00476	0	23
OR4B1	0	0
RPS6KB2	120	70
RMI2	0	23
PRM1	0	0
DRD5P2	0	0
TOM1L2	0	0
TEX26	0	0
GOLGA8EP	0	0
ZNF77	76	28
GPR156	0	0
LINC00521	0	0
LINC00116	20	7
KDF1	0	0
B3GNTL1	0	0
RBMXL3	0	0
MLXIP	72	73
C11orf44	0	0
BAK1P1	0	0
RWDD4P2	0	0
NR2F1	0	3
C15orf54	0	0
EIF3KP1	0	0
AURKAIP1	757	466
TTLL11	0	0
EIF4E1B	0	0
TOMM5	364	375
LINC01106	0	0
RP11-121M22.1	0	0
C15orf53	0	0
SLC35E3	11	30
PRIMA1	0	0
ZNF169	0	0
RUVBL1	174	212
SFN	0	4
OR52B3P	0	0
MSRA	0	0
ZNF645	0	0
CCDC168	0	0
CTDNEP1	0	5
ETV4	52	45
FAM172BP	0	0
SWI5	88	14
GAPT	0	0
BAIAP2	0	17
CALCB	0	0
CREG2	0	0
WBSCR28	0	0
HOXD8	0	0
RPL7AP66	4	3
ZDHHC21	0	0
TSPEAR	0	0
PLEKHF2	12	2
A2M	322	601
ARL4D	44	0
DOK7	0	0
LRRN1	0	0
UBE2O	1	2
ORAI3	11	0
KLHL38	0	0
RP11-544L8__B.4	0	0
UNC119B	0	0
DENND2C	0	0
PLEKHD1	0	0
FAM220BP	0	0
ASCL3	0	0
TUBB6	935	545
LYSMD3	3	0
AMIGO3	0	0
B3GALT6	49	83
ZNF613	0	0
C11orf16	0	0
TMPRSS7	0	0
RP1-146I3.1	0	0
NUPR1	0	0
JAKMIP2	0	0
RPL23P2	0	0
MBLAC2	0	0
TPRN	0	2
LINC00302	0	0
KCNE5	0	0
ZNF683	0	0
SLC35A4	127	26
AIM1L	54	56
IP6K1	6	0
SSNA1	27	113
CSTF3	37	36
YES1	17	117
CHMP6	37	2
AQP7P4	0	0
DLEU1	12	6
UFSP1	0	0
RP11-574E24.3	0	0
MC5R	0	0
TMEM39A	39	95
TCP11L1	0	0
GPX2	0	42
CCDC57	0	8
HSF5	0	0
FOXG1	0	0
SPHK1	122	224
BNIP3	199	144
ENTHD1	0	0
MYPOP	0	0
CH17-12M21.1	0	0
CIDEA	0	0
OR11H4	0	0
OR4D11	0	0
LRRTM4	0	1
ATAD5	48	119
SMIM19	148	61
OR11H6	0	0
ZNF404	0	0
RTTN	0	0
OR4K17	0	0
OR10H4	0	0
RP5-1193P9.4	0	0
C10orf111	0	0
OR51B6	0	0
CDV3P1	0	0
ACBD7	0	0
OR4L1	0	0
ANAPC2	0	0
OR4K13	0	0
HMGB4	0	0
ZBTB8OS	185	111
CYCSP34	0	0
OR4F21	0	0
SLC35G1	0	29
OR4K5	0	0
IDSP1	0	0
OR4K3	0	0
ZNF135	0	0
OR4N2	0	0
OR4M1	0	0
FOXR1	0	0
OR4H12P	0	0
FOXN3P1	0	0
RP11-404O13.5	0	0
COX8A	213	198
RPL37AP8	0	0
AC110781.3	0	0
TAC4	0	0
ZSCAN2	15	22
PFN1P10	0	0
PRR18	0	0
B3GNT4	0	0
CDC26	25	5
HSD11B2	14	26
CRLF3	3	41
RNPEP	163	315
EID2	0	9
DMRTA1	89	10
EID2B	35	0
GJC3	0	0
RIMS2	0	0
KCMF1	91	105
DNAJC30	24	18
SPRYD4	0	0
VPS37D	0	0
CLEC14A	0	0
SYNE3	0	4
CLK2	0	0
LPCAT4	0	18
SLCO3A1	0	0
ZNF575	0	0
WDR25	0	21
SGF29	35	12
PLA2G16	238	280
DIRAS1	0	0
OR5AN1	0	0
OR10AC1	0	0
RP5-856G1.2	0	0
PHLDB3	0	22
PRR15	0	0
GNG7	0	0
OR4C5	0	0
USF3	0	0
OR4C3	0	0
OR4S1	0	0
CNTD1	0	0
DCAF4L2	0	32
OR4X1	0	0
CNBD1	0	0
DMBT1P1	0	0
CTD-2368P22.1	0	0
KBTBD11	0	0
B3GNT5	0	0
MAP3K19	0	0
C14orf177	0	0
LMNB2	8	22
RMDN1	0	8
MEX3C	0	0
HORMAD2	2	0
RNF152	0	0
NANOGP1	12	0
MYO1D	0	2
C20orf197	0	0
FOXL1	0	0
TGIF2LY	0	0
LRRC37A	0	0
FOXC2	0	0
OR4F17	0	0
BDNF	0	0
SCAND2P	0	0
CCDC121	0	0
ACSF3	0	9
OR10AB1P	0	0
BOK	62	0
ZNF843	0	0
TTTY14	0	0
C8orf59	51	25
PFN4	0	0
OR51V1	0	0
MAGEB6	0	0
OR52Z1	0	0
CDK5R1	0	0
OR51A1P	0	0
C15orf56	0	0
LINC00303	0	0
ZNF285B	0	0
TCERG1L	0	0
NCKAP5	0	0
MAGEB18	0	0
DEFB104A	0	0
RUFY1	53	12
OR52E2	0	0
BASP1	0	0
DEFB103A	0	0
OR51L1	0	0
LRRC37A3	0	0
RP11-629O4.1	0	0
FKBP9P1	0	0
VSIG10	1	0
MIR7-3HG	0	0
IRX5	0	11
METRNL	0	0
FAM91A1	29	0
KRT18P28	0	0
GJA1P1	0	0
RP11-334J6.7	0	0
WSB2	89	43
none	0	0
RP11-432M24.4	0	0
GRIN1	0	0
SOX11	0	0
TYMS	47	95
OR51G2	0	0
PXMP2	139	33
OR51A7	0	0
TCEANC	0	0
OR51T1	0	0
PNMA1	0	17
OR51H1	0	0
C8orf4	469	35
MAMSTR	0	0
TYMSOS	21	4
ANKLE2	34	28
C8G	56	0
FUT2	0	0
OR51S1	0	0
OR7A15P	0	0
OR51F2	0	0
EFCAB5	0	0
GCNT4	5	34
TOB2P1	0	0
none	0	0
MUC20	0	0
THAP4	8	27
OR51N1P	0	0
NFATC2IP	27	20
LY6H	0	0
RPL7L1P11	0	0
FIBIN	0	0
FAM89B	0	29
SHMT1	134	220
DPP7	99	0
TRIM60	0	0
AP000679.2	0	0
SEC24C	4	10
FMR1NB	0	0
SMCR8	0	22
HCG4	0	0
MTHFR	0	5
DEFB104B	0	0
C19orf18	0	0
DEAF1	0	96
MTX3	0	1
TMEM80	120	0
SIX5	0	1
IFNW1	0	0
FBXO46	1	1
ZDHHC13	0	0
SLC38A9	19	0
ACER2	0	0
WDR73	40	0
POLE	0	6
FAM109B	0	0
SCN4B	0	0
DSCAML1	0	0
RHOG	0	6
EPS8L2	41	6
ZDHHC22	0	0
MRVI1-AS1	0	0
ANO6	0	7
ZBTB34	0	0
LINC00982	0	0
FAM9B	0	0
CETN1	0	0
NUDT4P1	0	0
FAM210A	86	9
OR2T35	0	0
TALDO1	268	493
ULK1	0	34
NAP1L4P1	0	0
OR14C36	0	0
RIMKLA	0	0
CLVS1	0	0
OR2M7	0	0
RPS6KA3	128	72
B3GNT8	24	66
PUS1	8	15
PCNPP5	0	0
CHD9	0	52
OR2T12	0	0
SPACA4	0	0
OR2T33	0	0
PDDC1	0	2
OR2M1P	0	0
LINC01561	0	0
TRIM72	0	0
MAN1B1	129	74
DEFB103B	0	0
DEFB4B	0	0
ENSAP3	0	0
KCNA3	0	0
OR2AJ1	0	0
FZD8	0	0
GJD4	0	0
FBXO39	0	0
CLDN22	0	0
KCNA2	0	0
TOP3A	0	31
CASKIN2	0	0
OR7E125P	0	0
ZBTB38	0	58
BEND2	0	0
C8orf31	0	0
DLGAP1-AS1	8	0
LINC00469	0	0
FLJ13224	0	0
RPL13AP3	0	0
CCDC71	51	1
C10orf71	0	0
OVOS2	0	0
LRRN4CL	0	0
FLJ40194	0	0
TIMM22	135	96
HIC1	0	0
PPFIA3	0	0
MAGEF1	62	90
UMODL1	0	0
OR7E8P	0	0
RP11-218M22.1	0	0
SAMD9L	0	0
ZFAS1	97	120
UBE2U	0	0
RP4-756H11.4	0	0
PAWR	6	33
TGIF1	74	43
MIEF2	0	0
