gene name	test_pipeline	first_sample
UBR7	0	2
MAP4K5	19	27
EHD3	2	0
PSMC4	618	1068
MAN2B2	44	0
SLC7A14	0	0
CLDN11	1	0
SLC25A39	438	281
MVP	49	20
NUB1	30	2
PGM3	205	143
RWDD2A	0	0
CLK1	0	0
POLR3B	6	9
ANGEL1	0	1
RNF14	28	3
DNASE1L1	0	5
DDX11	5	4
HEBP1	81	112
GPRC5A	0	0
MAMLD1	0	1
CD6	0	0
TACC3	40	14
UFL1	62	67
POLA2	0	34
ZC3H3	0	1
CAPN1	38	6
ACPP	0	0
MDH1	337	263
SLC30A9	69	37
MTMR11	0	0
COX15	60	30
CCDC88C	0	0
YAF2	0	0
ZMYND11	4	21
WAS	0	0
DPEP1	0	0
BID	383	330
MATR3	2	3
NPC1L1	13	0
XYLT2	68	1
RGPD5	0	0
STMN4	0	0
NUDCD3	0	92
ISL1	0	0
CHDH	0	2
IL20RA	0	0
CLCA1	0	0
CLCA4	0	0
GLT8D1	0	38
ATP2C1	0	25
IGF1	0	7
SLC38A5	0	0
RALBP1	75	122
RUFY3	50	72
CNTN1	0	0
SLC11A1	0	0
WWTR1	4	12
AGPS	61	32
ZNF806	0	0
CXorf56	0	3
ATP1A2	0	0
TTC27	0	0
ZNF582	0	12
VSIG2	0	0
PHLDB1	0	0
MARCO	0	0
CYP24A1	0	0
PRDM11	0	0
SYT13	0	0
SNAI2	0	0
CD74	0	1
HGF	0	0
ZRANB1	0	0
NCDN	2	0
ADGRA2	0	0
CCT8L1P	0	0
ZFP64	32	4
MNAT1	73	53
SAMD4A	32	31
RUNX3	0	0
MRE11	11	3
PLEKHB1	105	0
SERPINB1	181	99
CYP3A43	0	0
SLC7A9	0	0
SPAST	7	0
NRXN3	0	0
OSBPL5	0	0
AQR	0	48
CPS1	0	0
C8B	0	0
FHL1	0	0
RTFDC1	173	64
GABRA1	0	0
NLRP2	0	0
SLC45A4	0	0
RNF10	141	47
ZNF839	0	0
ZDHHC6	141	72
GRAMD1B	0	0
RNH1	210	185
NDUFS1	17	68
RB1CC1	0	58
ERP44	70	116
ALAS1	236	141
BIRC3	0	0
AKAP11	1	50
GLRX2	78	59
SNAPC1	0	1
DERA	252	299
STRAP	653	551
ABCC2	26	68
DEF6	0	0
PLEKHO1	129	112
GCLM	174	67
UBR2	41	46
EHD2	0	0
DEPDC1	0	0
CCDC28A	45	61
RRAGD	0	7
HSF2	18	12
PHF20	129	17
HSD17B6	0	5
NR1H3	43	11
TYMP	4	15
NCAPH2	45	75
TOMM34	464	139
SEC63	140	139
KPNA6	71	82
VIM	409	411
RTEL1-TNFRSF6B	0	0
FAS	0	0
RNASET2	51	40
CD44	0	0
KCNG1	0	0
AGPAT4	0	0
SLAMF7	0	0
BTN3A1	0	0
MIPEP	20	1
PRKCH	0	0
INSRR	0	0
IFNGR1	175	74
B4GALT7	0	12
SH2D2A	0	0
VRK2	85	0
TNFRSF1B	0	0
VEZT	28	0
POU2F2	0	0
BRD9	63	10
SNX1	79	37
TBPL1	73	0
ARNTL2	0	0
BCLAF1	68	118
SLC39A9	0	9
ANK1	0	0
IBSP	0	0
TFB1M	30	2
RABEP1	61	105
HMGB3	13	49
NUP160	18	18
BAK1	17	0
MUSK	0	0
IKZF2	0	0
GRN	145	250
FAM13B	0	0
ARHGAP31	0	0
CENPQ	0	5
SARS	119	204
RANBP3	56	26
ARID4A	60	25
TSSC1	19	21
PNPLA6	0	1
IFT88	0	0
ALG1	14	42
ZCCHC8	14	9
ABCF2	250	44
CHPF2	2	0
LRRC7	0	0
FUT8	0	3
UBA6	31	15
GAB2	0	17
ATP6V0A1	0	16
PIAS1	257	209
SLC4A7	26	19
APBA2	17	0
MAP2K3	17	92
EFCAB1	0	0
TMSB10	985	876
ASTE1	119	0
RNF19A	0	0
PEX3	104	39
GABARAPL2	154	225
MYOC	0	0
SH3YL1	0	0
FAM136A	174	121
VCL	2	71
DEPDC1B	0	7
DAPK2	0	0
NSMAF	0	1
ADSS	9	92
STAP1	0	0
TIMP2	0	15
RFC1	17	65
TBC1D23	0	1
CUL3	0	12
MYOM2	0	0
OTC	0	0
CYP46A1	0	0
ZZZ3	0	0
SLC18A1	0	0
USP2	0	0
CASR	0	0
TUBG2	0	3
RPL26L1	153	190
FLT4	0	0
NSUN2	78	25
FBXO42	15	0
MFAP3	0	0
MRI1	42	0
METTL1	185	123
HOXC8	0	0
AGA	40	131
PI4K2B	17	12
BOD1L1	12	38
MAT2B	32	10
TLL1	0	0
EDC4	34	5
TRIO	0	9
VCAN	0	9
CLEC16A	0	0
MSR1	0	1
CDH1	0	19
SKIV2L2	10	1
DNAH5	0	0
ZFYVE16	0	39
FAM65A	40	46
C6	0	0
RAI14	41	130
SOX30	0	0
PNKP	44	32
BEST2	0	0
PHLPP2	5	0
SPDL1	63	31
STAU2	0	4
PQLC2	179	98
CTNS	0	24
RTN4R	0	46
PHF23	0	9
CDH10	0	0
INPP4A	0	0
RAB27B	0	0
PSMA4	1015	1055
MYO16	0	0
LSG1	20	52
PARP3	0	0
TNC	0	0
THAP3	41	10
FAM65C	0	0
TDP1	23	111
AIFM2	0	96
C2orf83	0	0
SPATA7	0	18
MED17	76	1
RETSAT	0	21
CAPG	114	0
AP2S1	281	488
USH2A	0	0
ZPBP	0	0
TG	0	0
ADAM28	0	0
BARX2	0	0
DCUN1D1	3	50
JADE2	0	0
ZIC2	0	0
LCP2	0	0
TRIT1	60	32
ADRB1	0	0
GUCA2B	0	0
CUL7	0	0
CTNNA1	73	38
PHKA2	86	2
CNTLN	40	28
EPHA3	0	0
HSPA5	1093	621
DSG2	0	13
GEMIN8	0	17
OFD1	0	1
GPM6B	0	0
MAGEC2	0	0
PREX2	0	0
WDR37	9	1
YTHDC2	62	1
CTPS2	79	3
ATP6V1H	5	70
POLR2B	48	13
FAM214A	0	0
ARAP2	0	0
TPR	441	259
CP	13	30
KIAA0556	0	0
DTNBP1	7	35
